Fold,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
1,0.668519167004983,-0.09731981543973545,0.2522118504775402,0.4836330153902768,0.41294564389679356,0.8765984654116045
2,0.689842203065163,0.027067511976178182,0.2745566498982099,0.4202644742544981,0.42835828522473446,0.6151512708173533
3,0.7219223307635387,-0.2574673064076469,0.2536193537932916,0.48715612599861324,0.4032818516581362,0.7300884834664116
4,0.6530072055469474,0.027117775734425087,0.24673810552777742,0.5649478241681568,0.40446847272435504,0.9000442089652804
5,0.7117491197648057,-0.28835497317701697,0.26453509939236114,0.47076532789918335,0.41723675196341986,0.6609343047440671
