Model,Accuracy,F1 Score,AUC-ROC,Precision,Recall
Random Forest (Shallow),0.8993,0.2956,0.7046,0.3086,0.3300
Logistic Regression,0.7848,0.2112,0.5861,0.1573,0.4033
Gradient Boosting,0.8994,0.2032,0.6942,0.3667,0.1633
Random Forest (Medium),0.9132,0.1738,0.7114,0.1833,0.1733
