Model,Test_Accuracy,Test_F1,Test_AUC,Test_Precision,Test_Recall
Logistic Regression,0.7848154869933454,0.2112113617376775,0.586065987286853,0.15734848484848485,0.4033333333333333
Random Forest (Shallow),0.8992740471869329,0.2955555555555555,0.7045703427168466,0.30857142857142855,0.32999999999999996
Random Forest (Medium),0.9131881427707198,0.1738095238095238,0.7113537147277436,0.1833333333333333,0.17333333333333334
Gradient Boosting,0.8993950393224441,0.20317460317460317,0.6942469646520701,0.36666666666666664,0.16333333333333333
