material_id,formula,transition_metal,energy_above_hull,volume,density,band_gap,is_stable,is_metal,num_materials
mp-1179108,ScO2,Sc,0.32821247562499956,77.52587645258822,3.2966104134697733,0.0,False,True,1
mp-1186987,ScO3,Sc,0.6929377642187493,75.20180971737405,4.105059045064566,0.0,False,True,1
mp-644481,ScO,Sc,0.06678746562499782,22.13149871993696,4.573512093106743,0.0,False,True,1
mp-775837,Sc2O3,Sc,0.08177998074999948,506.46368073293684,3.6173173565581105,4.1645,False,False,1
mp-759946,Sc16O15,Sc,0.054016009798385056,361.09915190566187,4.4113401966233585,0.0,False,True,1
mp-684697,Sc20O19,Sc,0.06033612150640799,449.7186249219648,4.44234639437391,0.0,False,True,1
mp-2420244,TiO2,Ti,0.016494126666666276,204.9469218790116,2.5883829814012427,2.8899,False,False,1
mp-1071163,TiO,Ti,0.0,61.93779156658514,5.136733957196175,0.0,True,True,1
mp-1244955,Ti2O,Ti,0.33648856470588484,1393.5604093181257,4.526736653775709,0.0,False,True,1
mp-458,Ti2O3,Ti,0.0,103.7211155286214,4.602205295332797,0.0,True,True,1
mp-656850,Ti2O7,Ti,0.49894658222222166,345.81646513064675,1.9949509838903754,1.1540000000000001,False,False,1
mp-978968,Ti3O2,Ti,0.031906659999998865,111.68602130432724,5.221608308527694,0.0,False,True,1
mp-1105338,Ti3O7,Ti,0.27150150325000055,284.1554124233023,2.9872981737097173,0.0,False,True,1
mp-1217105,Ti3O8,Ti,0.3776018215909076,137.60792361818665,3.2773992166436927,0.0,False,True,1
mp-1217157,Ti3O4,Ti,0.02662257285714098,69.80936068096659,4.938099741788414,0.0,False,True,1
mp-1244956,Ti3O,Ti,0.35079546885000035,1455.1592008493833,4.55315644261749,0.0,False,True,1
mp-1245031,Ti3O5,Ti,0.2126794617307688,1335.6519191160896,3.613824621848453,0.01839999999999975,False,False,1
mp-565700,Ti8O15,Ti,0.018989677065215815,485.58659153569164,4.26039202323855,0.0,False,True,1
mp-752989,Ti8O13,Ti,0.009953984761905232,242.12323586529487,4.052726949232143,0.1144999999999996,False,False,1
mp-1045643,Ti9O13,Ti,0.14070407727272993,251.48701079847953,4.217889358462954,0.0,False,True,1
mp-1217149,Ti9O10,Ti,0.244662513157893,218.79855255583982,4.483765952018153,0.0,False,True,1
mp-27273,Ti9O17,Ti,0.020783203846152176,548.2424667111559,4.257294801537243,0.0,False,True,1
mp-32544,Ti9O8,Ti,0.16245030558823537,349.1388524102388,5.315399511320384,0.0,False,True,1
mp-684733,Ti10O11,Ti,0.14600348380952433,424.9611675424274,5.116204659257331,0.0,False,True,1
mp-753593,Ti10O13,Ti,0.028242871739129427,230.577800619834,4.945096219954479,0.0,False,True,1
mp-2739250,Ti11O14,Ti,0.05859172079999908,251.9507727658965,4.946530026323161,0.0,False,True,1
mp-760747,Ti11O18,Ti,0.019436048275862206,306.69832203852724,4.410042313792113,0.0,False,True,1
mp-656852,Ti13O22,Ti,0.012943973071429582,810.8539189415468,3.990344258832327,0.0,False,True,1
mp-760075,Ti19O30,Ti,0.011319550408163792,515.0391610824431,4.479745398693894,0.0,False,True,1
mp-778663,Ti4O7,Ti,0.09385985681818099,493.8244825655946,4.081721451191843,0.0,False,True,1
mp-1217135,Ti4O3,Ti,0.09906848714285665,74.82979348114432,5.31396603260717,0.0,False,True,1
mp-10734,Ti4O5,Ti,0.036609422222221966,90.73767653519478,4.9679279386167945,0.0,False,True,1
mp-1045759,Ti5O7,Ti,0.1550076733333352,277.1632814646329,4.20978216473716,0.0,False,True,1
mp-748,Ti5O9,Ti,0.01078014607142741,296.2867131326208,4.296741965533616,0.0,False,True,1
mp-759920,Ti5O8,Ti,0.013142276923078455,410.3530261794498,4.459327281973952,0.0,False,True,1
mp-882,Ti6O,Ti,0.011734072857143119,213.51484396580418,4.716091500709671,0.0,False,True,1
mp-30524,Ti6O11,Ti,0.013827577794117474,359.3760311369506,4.280497259712451,0.0,False,True,1
mp-779692,Ti7O8,Ti,0.11578333866666668,165.56435271850313,4.644334259715617,0.0,False,True,1
mp-556724,Ti7O13,Ti,0.01661497024999825,422.4950270949022,4.268804514056533,0.0,False,True,1
mp-1780502,VO2,V,0.2045719916666524,147.8941286002547,3.724978397491521,1.1092000000000002,False,False,1
mp-826024,VO3,V,0.33952693999999983,268.1566615707423,2.4507052907784193,0.07850000000000001,False,False,1
mp-776041,V2O5,V,0.0341744300000002,446.26543404636556,2.707078100284063,2.08,False,False,1
mp-776630,V2O3,V,0.060644026250001204,315.0324308093384,4.7401517549900705,0.9127999999999998,False,False,1
mp-1273331,VO,V,0.06256706520833255,86.10667221884472,5.1637336291967175,1.5467000000000004,False,False,1
mp-796383,V3O8,V,0.12811698181818088,607.4079639103353,3.0708328561936997,0.6003999999999999,False,False,1
mp-818205,V3O10,V,0.4162709311538464,435.03658923796417,2.388062767965543,0.0,False,True,1
mp-1272338,V3O5,V,0.007672148906252119,174.04930479353644,4.442525033847938,1.1494,False,False,1
mp-1379199,V3O7,V,0.06325666175000144,608.2232220286406,2.8919938500632107,1.4513,False,False,1
mp-2506981,V4O7,V,0.17734911647727358,301.4303897322373,3.4789777224404834,0.9472999999999998,False,False,1
mp-1370177,V4O9,V,0.1406433615384639,362.18964249018563,3.1887718210865637,0.012199999999999989,False,False,1
mp-2214725,V5O12,V,0.0953513394117671,205.73181570409864,3.6054865782896353,1.3039,False,False,1
mp-1046039,V5O7,V,0.18145391399305488,292.36764772295777,4.165475633808141,0.5505999999999998,False,False,1
mp-1204545,V5O14,V,0.20392289907894767,1833.4995241608353,1.7341669246860691,0.0,False,True,1
mp-542334,V5O9,V,0.029948650625000184,280.95663138848244,4.712901138076423,0.5186000000000002,False,False,1
mp-849537,V6O11,V,0.07403910242647171,395.0729988402168,4.048801233170881,0.4496000000000002,False,False,1
mp-870306,V6O13,V,0.0430091634210541,460.457359135563,3.7046699898908253,0.0,False,True,1
mp-1100921,V7O3,V,0.8237026231250013,147.0339768293617,4.569252343444688,0.8212999999999999,False,False,1
mp-1205504,V7O4,V,0.6480725046969713,141.2735540209622,4.943621449979253,0.0,False,True,1
mp-27151,V7O13,V,0.04544910531249968,399.3339815269712,4.695376173104464,0.5028000000000006,False,False,1
mp-556566,V8O15,V,0.041522512663044964,486.4271229757832,4.4209592300132305,0.5660999999999996,False,False,1
mp-776583,V9O22,V,0.09403469274193732,761.6891212722951,3.5337277489552466,0.9038999999999997,False,False,1
mp-1045898,V9O13,V,0.22039213842803207,266.04573381949626,4.159782294032094,0.0,False,True,1
mp-1100929,V9O20,V,0.846564473448276,371.7129442614523,3.4775913896903248,1.2888000000000002,False,False,1
mp-559485,V9O17,V,0.05692713139423233,550.1688363255685,4.409420410517204,0.45799999999999974,False,False,1
mp-705541,V10O9,V,0.21236072230263225,210.05610788833138,5.165344534443132,1.1357999999999997,False,False,1
mp-773019,V12O29,V,0.03949390719512458,526.8547170277877,3.389066071999435,0.5361,False,False,1
mp-30065,V13O16,V,0.6766213945402306,917.3180174465875,3.324379537305416,0.0,False,True,1
mp-685164,V25O32,V,0.07779083391813124,646.6224155585722,4.585246078827052,0.2588999999999997,False,False,1
mp-2039648,CrO,Cr,0.13362074249999978,93.71685927120197,4.81916210759937,0.0,False,True,1
mp-2214915,CrO2,Cr,0.20384625666663325,135.75539532326752,4.10965067599411,0.0,False,True,1
mp-772550,CrO3,Cr,0.060113720124999936,257.1742800265965,2.5825979456753627,2.3421,False,False,1
mp-773920,Cr5O12,Cr,0.0,1020.3745477293073,2.9421326685534033,1.8218,True,False,1
mp-1046050,Cr5O7,Cr,0.41803034486111024,279.9118361202061,4.413398071505972,0.7811999999999997,False,False,1
mp-1213798,Cr6O11,Cr,0.01808806705881061,326.29366251669643,4.966650245126532,0.0,False,True,1
mp-1181818,Cr8O21,Cr,0.5163015806551741,443.0188951903003,2.8185087854554327,0.8535,False,False,1
mp-1045826,Cr9O13,Cr,0.29272820015151524,256.6241473662593,4.373918764012003,0.6852999999999998,False,False,1
mp-780521,Cr19O48,Cr,0.08520998629850762,892.8564303100558,3.2656266299619983,0.3451,False,False,1
mp-753829,Cr2O3,Cr,0.07642764400000068,103.96313558588507,4.855297906867757,0.0,False,True,1
mp-2220540,Cr3O8,Cr,0.04663253309090987,327.1868241030999,2.882546985021912,0.5890000000000001,False,False,1
mp-1044455,Cr3O7,Cr,0.145534851499999,627.6761491268829,2.835845003945874,0.2996,False,False,1
mp-1096920,Cr3O5,Cr,0.36020194937499284,109.42735007947488,3.581031707851874,0.6983999999999999,False,False,1
mp-1310867,Cr3O4,Cr,0.09915345976190437,156.56919999895874,4.66624574391333,1.4759999999999995,False,False,1
mp-1041443,Cr4O9,Cr,0.21187422173076342,381.90653291304204,3.0608268283929783,0.18369999999999997,False,False,1
mp-1198417,Cr4O15,Cr,0.47444922484210483,666.3935279287732,2.2325566574067124,0.7085999999999999,False,False,1
mp-776160,Cr2O5,Cr,0.05739850192857254,419.00987662396113,2.9166019409468427,0.516,False,False,1
mp-2831286,MnO,Mn,0.05536453875000191,111.34584959689694,4.231658361701393,0.9851000000000001,False,False,1
