Validation,Model,R2,MAE_eV
Random 5-Fold,Magpie Only,0.14847813045574781,0.14383073185836018
Random 5-Fold,Magpie + Structure,0.22612633936498883,0.1347944053828718
GroupKFold,Magpie Only,0.10779971863089896,0.1484960434214811
GroupKFold,Magpie + Structure,0.13787789652859833,0.14554484512878207
